layer,requirement,model_inputs,calculation,outputs,status,gap_or_limitation,source_reference,source_url,original_publication,republication
Cash flow,Asset amortization,Maturity schedule; reinvestment; legal maturity,Independent development schedule,Principal cash flows,Development approximation,Must compare actual versus standardized amortization and covenants,Paragraphs128-131 table19,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/11020014,2019-06-21,2026-04-10
Cash flow,Rate stresses,Benchmark; currency; rate path; target,Editable path applied to assets and liabilities,Scenario interest; shortfalls,Development approximation,Hand-authored paths are not S&P CIR or market forward curves,Paragraph136 plus stressed-rate criteria,https://spratings.spglobal.com/ratings/en/regulatory/article/-/view/type/HTML/id/3556620,2019-10-18,2026-05-05
Cash flow,Payment structure,Tranches; coupons; fees; priority; OC/IC; payment promises,Independent waterfall with conservation and priority checks,Cash flows; payment shortfalls; first-failure grid brackets,Development engine,Deal-specific obligations must be reconciled before approved calibration,Global Framework For Payment Structure And Cash Flow Analysis Of Structured Finance Securities,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/11734324,2020-12-22,2025-11-17
Cash flow,OC numerator and denominator,Asset carrying values; senior and pari-passu debt; deferred interest,Configured simplified coverage mechanics,Coverage trigger flags,Development approximation,Detailed defaulted/discount/CCC/long-dated/workout provisions not fully implemented,Paragraphs184-224 table25,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/11020014,2019-06-21,2026-04-10
Cash flow,Compare SDR with minimum BDR,Approved SDR and comparable stress assumptions,Agency comparison not performed; exploratory grid is not exact BDR,AAA not determined,Not implemented; SDR unavailable by default,Exact comparable BDR and validated SDR needed; supplemental and qualitative tests also required,Paragraphs11-16 and51-52,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/11020014,2019-06-21,2026-04-10
Supplemental,Largest obligor,Grouped obligor par and eligible issuer rating,Maximum of table4 band-specific largest-n losses at 5% recovery,Full scenario audit; binding obligors; gross and net loss,Public corporate arithmetic implemented,No cash-flow sufficiency claim; below-CCC- and sovereign cases unsupported,Table4 and paragraphs123/157-161,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/11020014,2019-06-21,2026-04-10
Supplemental,Primary industry,Grouped S&P industry par,Largest industry default at 17% recovery,Primary industry gross and net loss,Public corporate arithmetic implemented,AAA/AA only; taxonomy must be approved; no cash-flow sufficiency claim,Paragraphs59-63 and162-163,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/11020014,2019-06-21,2026-04-10
Supplemental,Alternative industry,Grouped obligors and ratings within each industry,Maximum band-specific losses within industries at 5% recovery,Alternative industry loss and selected obligors,Public corporate arithmetic implemented,Primary OR alternative route; do not take maximum of the two as mandatory industry loss,Paragraphs64-65 and164,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/11020014,2019-06-21,2026-04-10
Rating dependency,Counterparty risk,Account bank; derivatives; remedies,Counterparty-specific analysis,External review finding,Not implemented,Can constrain rating despite numerical cash-flow survival,Counterparty Risk Methodology,https://www.spglobal.com/ratings/en/regulatory/article/-/view/type/HTML/id/3412992,2025-07-25,Not separately verified
Rating dependency,Legal isolation and SPE,Jurisdictions; transaction legal documents; counsel opinions,Applicable legal analysis,External legal review,Not implemented,No legal conclusion; U.S. and non-U.S. criteria applicability must be determined,Asset Isolation And Special-Purpose Entity Methodology,https://www.spglobal.com/ratings/ru/regulatory/article/-/view/sourceId/13431320,2025-05-29,Not separately verified
Rating dependency,Sovereign and FX,Countries; sovereign ratings; currencies; hedges,Apply sovereign and FX criteria when relevant,External review; unsupported scope flag,Not implemented,Mixed currency blocked; numerical target survival does not establish sovereign eligibility,Methodology For Rating Structured Finance Securities Above The Sovereign,https://www.spglobal.com/ratings/en/regulatory/article/-/view/type/HTML/id/3545165,2026-04-10,Not separately verified
Fitch scope,Separate criteria version,User-supplied English Fitch PDF,Pin title/date/hash separately from S&P,Fitch Parameters and source metadata,Verified supplied source,No full Fitch implementation; translated/differently dated sources do not replace supplied source,English CLOs and Corporate CDOs Rating Criteria title p1,,2026-06-01,Not separately verified
Fitch portfolio,WARF,fitch_idr;fitch_rating_basis;source_reference;shared par,sum(par*Fitch factor)/total_par at 100% rating coverage,Fitch WARF; coverage; development/ reviewed basis,Public calculation implemented,Ten-year factor scale differs from SPWARF; input equivalency not approved by parser,English supplied Fitch PDF Appendix6 p47 and Appendix5 pp45-46,,2026-06-01,Not separately verified
Fitch recovery,WARR,fitch_recovery;fitch_recovery_basis;source_reference;shared par,sum(par*recovery fraction)/total_par at 100% recovery coverage,Fitch WARR or explicit missing-input status,Public calculation implemented,Issue recovery precedence or reviewed BBsf fallback; not S&P AAA recovery; partial averages suppressed,English supplied Fitch PDF Appendix6 pp47-48 and Appendix4 pp42-43,,2026-06-01,Not separately verified
Fitch portfolio,Industry classification,fitch_industry;instrument_id;obligor_id,Separate label coverage and consistency checks,Fitch industry coverage and gap status,Presence/consistency validation only,No automatic SP-to-Fitch mapping; no Fitch concentration calculation or taxonomy certification,English supplied Fitch PDF plus approved Fitch classification input,,2026-06-01,Not separately verified
Fitch PCM,Rating default/recovery/loss rates,Fitch portfolio ratings; maturities; correlations; recoveries; calibration,PCM RDR/RRR/RLR not reproduced,Explicit unavailable values,Not implemented,Needs authorized matching model output or independently validated implementation; WARR is not RLR,English supplied Fitch PDF portfolio credit framework,,2026-06-01,Not separately verified
Fitch cash flow,Fitch tranche payment and rating analysis,Deal waterfall; applicable Fitch scenarios; PCM outputs,Agency BDR and rating comparison not performed,Fitch AAA not determined,Not implemented,Shared exploratory waterfall must not be labelled a Fitch criteria cash-flow result,English supplied Fitch PDF cash-flow analysis framework,,2026-06-01,Not separately verified
