instrument_id,fitch_idr,fitch_rating_basis,fitch_industry,fitch_recovery,fitch_recovery_basis,source_reference
SYN-LN-00011,B+,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00012,B+,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00013,B+,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00014,B+,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00015,BB,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00016,BB-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00017,BB-,development_proxy,,,,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review.
SYN-LN-00018,BB,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00019,B-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00020,B+,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00021,BB-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00022,BBB-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00023,BB,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00024,B+,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00025,B-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00026,B,development_proxy,,0.65,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; Luxembourg Group 2; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00027,BB-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00028,BB-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00029,B,development_proxy,,0.65,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; Luxembourg Group 2; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00030,B-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00031,B+,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00032,B,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00033,B+,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00034,B+,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00035,B-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00036,B,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00037,BB-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00038,B-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00039,B-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00040,BB,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; Canada Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00041,B,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00042,BB,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00043,B,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00044,B+,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00045,B,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00046,B+,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00047,B,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00048,B,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00049,B-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00050,BBB-,development_proxy,,,,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review.
SYN-LN-00051,BB,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00052,BB+,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00053,BB-,development_proxy,,0.65,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United Kingdom Group 2; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00054,B-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00055,B+,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00056,B-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00057,B-,development_proxy,,0.65,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; Austria Group 2; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00058,BBB+,development_proxy,,0.65,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United Kingdom Group 2; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00059,BB+,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00060,BB-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00061,B-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00062,B,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00063,B+,development_proxy,,0.65,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; Ireland Group 2; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00064,B+,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00065,B-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00066,B-,development_proxy,,0.65,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United Kingdom Group 2; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00067,BB-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00068,B-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00069,BB,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00070,B,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00071,B,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00072,B,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00073,B-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00074,A-,development_proxy,,0.65,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; Germany Group 2; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00075,B-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00076,B,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00077,B+,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00078,BB-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00079,BB-,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00080,B,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
SYN-LN-00081,B,development_proxy,,0.75,development_assumption,FICTIONAL DEVELOPMENT: copied S&P symbol as Fitch IDR-equivalency proxy; no Fitch rating or Appendix 5 review. Assumed first-lien facility is senior secured loan with no issue recovery opinion; United States Group 1; Fitch June 1 2026 Appendix 4 pp42-43 and Appendix 6 pp47-48 BBsf Strong fallback.
